Obs,FltNum,Origin,SchedArr,ActualArr,SchedET,ActualET,Delay,,
61,161,PUS,10:30,10:14,130,122,-16,,
62,162,RSU,9:02,8:34,92,74,-28,,
63,163,RSU,9:13,9:17,133,141,4,,
64,164,KUV,13:44,13:24,104,83,-20,,
65,165,RSU,7:33,7:10,153,135,-23,,
66,166,PUS,11:08,10:47,133,118,-21,,
67,167,RSU,9:57,9:40,133,121,-17,,
68,168,KWJ,11:56,11:55,188,190,-1,,
69,169,TAE,11:00,10:57,77,81,-3,,
70,170,TAE,17:27,17:14,132,130,-13,,
71,171,KUV,21:00,20:55,139,137,-5,,
72,172,KUV,10:30,10:02,165,145,-28,,
73,173,KWJ,8:18,8:07,138,131,-11,,
74,174,PUS,9:59,9:44,84,75,-15,,
75,175,PUS,20:05,19:58,247,247,-7,,
76,176,TAE,16:10,15:53,183,169,-17,,
77,177,PUS,10:55,10:42,95,89,-13,,
78,178,TAE,8:15,7:48,146,129,-27,,
79,179,RSU,12:29,12:36,232,240,7,,
80,180,KWJ,20:20,20:22,90,84,2,,
81,181,KWJ,10:00,9:42,125,112,-18,,
82,182,RSU,11:03,10:55,99,97,-8,,
83,183,KWJ,19:15,19:19,234,238,4,,
84,184,PUS,13:51,13:20,135,115,-31,,
85,185,PUS,18:15,18:04,140,131,-11,,
86,186,KWJ,8:59,8:41,153,142,-18,,
87,187,RSU,7:10,6:39,87,61,-31,,
88,188,KWJ,14:25,14:22,232,233,-3,,
89,189,KUV,10:44,10:35,79,79,-9,,
90,190,USN,14:15,13:51,82,63,-24,,
91,191,RSU,17:10,16:59,234,230,-11,,
92,192,KUV,7:52,7:19,172,146,-33,,
93,193,USN,8:00,7:39,83,74,-21,,
94,194,RSU,8:57,8:37,172,151,-20,,
95,195,KWJ,9:54,9:31,169,153,-23,,
96,196,KWJ,13:44,13:25,169,156,-19,,
97,197,KWJ,11:51,11:18,166,139,-33,,
98,198,TAE,10:53,10:47,143,143,-6,,
99,199,KWJ,15:44,15:16,164,139,-28,,
100,100,KUV,17:59,17:31,174,157,-28,,
101,101,RSU,19:05,19:00,175,177,-5,,
102,102,USN,20:05,19:58,175,176,-7,,
103,103,KWJ,21:03,20:53,173,169,-10,,
104,104,RSU,18:14,18:09,135,135,-5,,
105,105,KWJ,4:42,4:38,222,217,-4,,
106,106,TAE,11:15,10:50,131,112,-25,,
107,107,CJU,19:44,19:50,234,242,6,,
108,108,RSU,19:05,18:57,210,183,-8,,
109,109,KUV,16:55,16:59,85,94,4,,
110,110,KWJ,20:33,20:26,131,129,-7,,
111,111,TAE,12:45,12:57,240,241,12,,
112,112,RSU,7:04,6:46,124,111,-18,,
113,113,TAE,5:13,5:07,223,223,-6,,
114,114,TAE,8:05,7:51,125,118,-14,,
115,115,TAE,8:50,8:52,125,129,2,,
116,116,TAE,9:55,9:29,130,115,-26,,
117,117,PUS,10:54,10:56,129,135,2,,
118,118,TAE,9:45,9:49,67,59,4,,
119,119,CJU,11:55,11:25,130,104,-30,,
120,120,RSU,12:55,12:50,130,132,-5,,
121,121,CJU,13:58,13:30,133,113,-28,,
122,122,KUV,14:59,14:28,134,108,-31,,
123,123,RSU,15:57,15:35,132,113,-22,,
124,124,KUV,15:58,16:04,238,243,6,,
125,125,TAE,16:55,16:41,130,120,-14,,
126,126,PUS,17:10,17:12,250,253,2,,
127,127,TAE,17:59,18:00,134,146,1,,
128,128,CJU,17:59,17:44,84,72,-15,,
129,129,KWJ,18:59,18:54,134,135,-5,,
130,130,PUS,19:53,20:45,228,247,52,,
131,131,KWJ,20:00,19:51,135,126,-9,,
132,132,KWJ,13:15,12:43,159,138,-32,,
133,133,KUV,7:30,7:05,150,129,-25,,
134,134,TAE,7:45,7:36,84,79,-9,,
135,135,CJU,20:30,20:14,130,116,-16,,
136,136,PUS,11:58,11:56,133,133,-2,,
137,137,PUS,6:43,6:26,103,85,-17,,
138,138,RSU,12:28,12:28,248,252,0,,
139,139,CJU,19:45,19:42,156,164,-3,,
140,140,CJU,9:45,9:42,149,153,-3,,
141,141,PUS,10:55,10:18,210,180,-37,,
142,142,KWJ,18:19,18:08,154,148,-11,,
143,143,USN,19:30,19:23,160,156,-7,,
144,144,PUS,14:44,14:18,142,123,-26,,
145,145,CJU,21:24,21:05,159,146,-19,,
146,146,RSU,17:59,18:06,239,236,7,,
147,147,KWJ,7:28,7:33,148,130,5,,
148,148,PUS,9:30,9:08,155,140,-22,,
149,149,PUS,7:15,7:00,75,68,-15,,
150,150,PUS,8:30,8:12,150,138,-18,,
151,151,KUV,8:15,8:01,75,64,-14,,
152,152,PUS,11:39,11:01,159,128,-38,,
153,153,KUV,12:38,12:04,158,131,-34,,
154,154,PUS,9:49,9:34,79,74,-15,,
155,155,TAE,13:38,13:09,158,136,-29,,
156,156,KUV,14:38,14:09,158,138,-29,,
157,157,KUV,11:55,11:47,227,221,-8,,
158,158,PUS,15:29,15:15,154,139,-14,,
159,159,PUS,16:38,16:14,158,141,-24,,
160,160,CJU,17:39,17:17,159,142,-22,,
161,161,KUV,18:43,18:34,158,133,-9,,
162,162,USN,19:45,19:55,160,177,10,,
163,163,CJU,20:44,20:49,164,175,5,,
164,164,KWJ,21:46,21:08,161,135,-38,,
165,165,CJU,8:56,8:32,106,89,-24,,
166,166,USN,7:10,7:00,126,117,-10,,
167,167,KUV,13:10,12:45,160,141,-25,,
168,168,PUS,19:30,19:29,145,149,-1,,
169,169,KUV,17:15,17:22,232,240,7,,
170,170,TAE,18:55,18:46,165,157,-9,,
171,171,TAE,5:02,4:59,222,216,-3,,
172,172,PUS,17:10,17:07,140,140,-3,,
173,173,PUS,15:59,15:53,144,141,-6,,
174,174,KUV,13:55,13:29,325,299,-26,,
175,175,KWJ,13:55,13:39,61,49,-16,,
176,176,PUS,16:14,16:00,132,133,-14,,
177,177,USN,17:10,17:07,182,184,-3,,
178,178,PUS,15:14,14:51,104,86,-23,,
179,179,TAE,9:10,8:53,142,135,-17,,
180,180,TAE,9:10,8:54,125,116,-16,,
181,181,CJU,17:03,17:02,248,247,-1,,
182,182,KUV,10:40,10:30,160,155,-10,,
183,183,CJU,19:57,19:49,242,240,-8,,
184,184,CJU,10:58,10:39,133,120,-19,,
185,185,KWJ,20:01,20:06,236,223,5,,
186,186,USN,17:56,17:43,241,230,-13,,
187,187,TAE,10:59,10:36,154,139,-23,,
188,188,USN,10:54,10:36,169,155,-18,,
189,189,RSU,10:56,10:31,141,120,-25,,
190,190,USN,9:30,9:17,150,144,-13,,
191,191,TAE,17:10,18:20,148,145,70,,
192,192,CJU,13:39,13:11,131,107,-28,,
193,193,PUS,16:35,16:24,84,75,-11,,
194,194,RSU,6:03,5:41,58,42,-22,,
195,195,USN,20:15,20:08,145,136,-7,,
196,196,RSU,15:09,15:06,84,84,-3,,
197,197,RSU,12:16,12:08,87,81,-8,,
198,198,USN,14:55,14:47,188,188,-8,,
199,199,TAE,16:20,16:04,95,84,-16,,
200,100,RSU,16:44,16:36,92,95,-8,,
