Spending,Time,Male,Age20,Age30,Age40
49.9,44.7,1,1,0,0
98.3,104.4,1,0,1,0
62.12,62.5,1,0,1,0
51.77,32.9,1,1,0,0
36.14,28.6,0,0,0,0
68.44,59.6,1,0,1,0
50.82,45.5,0,1,0,0
66.8,64.3,1,0,1,0
77.8,59.5,1,1,0,0
62.48,48.5,1,0,0,1
40,33.1,0,1,0,0
37.39,19.7,1,1,0,0
58.26,41.1,1,0,0,1
72.82,67.1,1,1,0,0
54.47,54.3,1,0,0,0
32.43,25.1,0,0,0,0
73.18,53.5,1,0,1,0
68.89,57.7,0,0,1,0
49.82,32.3,0,0,1,0
52.9,53.1,0,1,0,0
45.98,51.2,0,0,0,0
31.08,27.1,0,0,0,0
