City,Advertising,Sales,D1,D2,D3,AxD1,AxD2,AxD3
Daegu,33.83,355.77,0,0,0,0,0,0
Daegu,27.92,370.91,0,0,0,0,0,0
Daegu,32.9,312.14,0,0,0,0,0,0
Daegu,33.29,365.16,0,0,0,0,0,0
Daegu,30.99,307.69,0,0,0,0,0,0
Daegu,34.19,346.53,0,0,0,0,0,0
Daegu,37.02,391.88,0,0,0,0,0,0
Daegu,44.43,408.44,0,0,0,0,0,0
Daegu,35.87,342.81,0,0,0,0,0,0
Daegu,36.29,352.13,0,0,0,0,0,0
Daegu,34.63,371.73,0,0,0,0,0,0
Daegu,25.41,297.42,0,0,0,0,0,0
Daegu,34.87,363.67,0,0,0,0,0,0
Daegu,35.3,362.42,0,0,0,0,0,0
Daegu,47.32,408.55,0,0,0,0,0,0
Daegu,34.04,398.07,0,0,0,0,0,0
Daegu,36.51,380.22,0,0,0,0,0,0
Daegu,34.83,318.63,0,0,0,0,0,0
Daegu,29.16,334.51,0,0,0,0,0,0
Daegu,40.71,375.33,0,0,0,0,0,0
Daegu,38.76,395.85,0,0,0,0,0,0
